日付,店舗,商品,数量,単価,売上
2026-04-21,S001,玉葱,2,122,244
2026-04-09,S001,じゃがいも,15,68,1020
2026-04-24,S001,玉葱,44,122,5368
2026-04-18,S001,玉葱,38,102,3876
2026-04-02,S001,キャベツ,6,173,1038
2026-04-08,S001,大根,39,111,4329
2026-04-18,S001,じゃがいも,46,101,4646
2026-04-23,S001,大根,27,124,3348
2026-04-15,S001,ピーマン,18,90,1620
2026-04-25,S001,にんじん,45,127,5715
2026-04-11,S001,トマト,10,243,2430
2026-04-25,S001,きゅうり,7,75,525
2026-04-13,S001,玉葱,23,97,2231
2026-04-20,S001,トマト,3,276,828
2026-04-15,S001,大根,8,134,1072
2026-04-03,S001,大根,19,150,2850
2026-04-20,S001,きゅうり,37,82,3034
2026-04-23,S001,玉葱,3,117,351
2026-04-08,S001,トマト,6,244,1464
2026-04-28,S001,玉葱,25,92,2300
2026-04-15,S001,ナス,24,130,3120
2026-04-12,S001,きゅうり,14,112,1568
2026-04-09,S001,ズッキーニ,44,241,10604
2026-04-03,S001,ピーマン,41,100,4100
2026-04-18,S001,ズッキーニ,16,210,3360
2026-04-15,S001,レタス,18,220,3960
2026-04-23,S001,大根,15,153,2295
2026-04-11,S001,キャベツ,15,162,2430
2026-04-26,S001,きゅうり,26,87,2262
2026-04-03,S001,じゃがいも,37,105,3885
2026-04-11,S001,じゃがいも,42,91,3822
2026-04-13,S001,ナス,30,129,3870
2026-04-09,S001,にんじん,16,147,2352
2026-04-18,S001,大根,17,157,2669
2026-04-19,S001,レタス,38,205,7790
2026-04-12,S001,じゃがいも,9,92,828
2026-04-16,S001,玉葱,49,78,3822
2026-04-28,S001,玉葱,10,115,1150
2026-04-06,S001,ナス,28,158,4424
2026-04-03,S001,レタス,25,218,5450
2026-04-15,S001,大根,17,145,2465
2026-04-28,S001,キャベツ,44,206,9064
2026-04-04,S001,ナス,35,168,5880
2026-04-09,S001,ナス,22,127,2794
2026-04-10,S001,レタス,11,209,2299
2026-04-01,S001,ズッキーニ,47,216,10152
2026-04-17,S001,にんじん,33,106,3498
2026-04-28,S001,ナス,20,160,3200
2026-04-17,S001,ピーマン,13,99,1287
2026-04-12,S001,にんじん,35,149,5215
2026-04-17,S001,キャベツ,39,180,7020
2026-04-16,S001,キャベツ,8,183,1464
2026-04-27,S001,トマト,16,233,3728
2026-04-08,S001,ピーマン,6,95,570
2026-04-24,S001,白菜,5,178,890
2026-04-18,S001,にんじん,9,142,1278
2026-04-16,S001,大根,11,126,1386
2026-04-17,S001,ピーマン,28,103,2884
2026-04-18,S001,ズッキーニ,45,212,9540
2026-04-23,S001,トマト,26,272,7072
2026-04-21,S001,きゅうり,29,103,2987
2026-04-15,S001,玉葱,16,89,1424
2026-04-03,S001,きゅうり,2,107,214
2026-04-18,S001,じゃがいも,38,74,2812
2026-04-01,S001,玉葱,46,115,5290
2026-04-02,S001,じゃがいも,5,62,310
2026-04-28,S001,きゅうり,5,102,510
2026-04-08,S001,トマト,43,261,11223
2026-04-07,S001,大根,9,156,1404
2026-04-19,S001,ピーマン,31,105,3255
2026-04-26,S001,白菜,27,142,3834
2026-04-04,S001,玉葱,43,102,4386
2026-04-12,S001,レタス,27,209,5643
2026-04-28,S001,ズッキーニ,4,243,972
2026-04-21,S001,ナス,7,123,861
2026-04-13,S001,ズッキーニ,22,206,4532
2026-04-08,S001,じゃがいも,13,94,1222
2026-04-15,S001,にんじん,28,111,3108
2026-04-09,S001,白菜,16,134,2144
2026-04-15,S001,大根,7,113,791
2026-04-21,S001,大根,1,115,115
2026-04-25,S001,じゃがいも,11,86,946
2026-04-16,S001,白菜,14,155,2170
2026-04-02,S001,にんじん,25,100,2500
2026-04-13,S001,トマト,30,248,7440
2026-04-14,S001,ズッキーニ,47,250,11750
2026-04-18,S001,ナス,46,151,6946
2026-04-05,S001,じゃがいも,19,73,1387
2026-04-02,S001,ピーマン,48,124,5952
2026-04-02,S001,ズッキーニ,21,203,4263
2026-04-02,S001,ピーマン,31,122,3782
2026-04-28,S001,大根,11,113,1243
2026-04-17,S001,玉葱,12,79,948
2026-04-20,S001,玉葱,44,90,3960
2026-04-13,S001,玉葱,37,90,3330
2026-04-19,S001,ピーマン,3,129,387
2026-04-03,S001,レタス,43,217,9331
2026-04-19,S001,大根,21,126,2646
2026-04-07,S001,ナス,46,140,6440
2026-04-08,S001,トマト,26,238,6188
