日付,店舗,商品,数量,単価,売上
2026-04-02,S096,きゅうり,44,105,4620
2026-04-07,S096,ナス,50,167,8350
2026-04-08,S096,キャベツ,40,187,7480
2026-04-16,S096,じゃがいも,39,88,3432
2026-04-20,S096,大根,19,118,2242
2026-04-04,S096,大根,38,117,4446
2026-04-24,S096,トマト,9,272,2448
2026-04-14,S096,ピーマン,15,120,1800
2026-04-14,S096,ズッキーニ,23,241,5543
2026-04-01,S096,ズッキーニ,7,225,1575
2026-04-26,S096,白菜,28,160,4480
2026-04-23,S096,玉葱,33,106,3498
2026-04-16,S096,レタス,9,222,1998
2026-04-17,S096,大根,14,136,1904
2026-04-08,S096,レタス,35,213,7455
2026-04-22,S096,ナス,23,121,2783
2026-04-03,S096,ズッキーニ,42,225,9450
2026-04-25,S096,ナス,11,149,1639
2026-04-13,S096,にんじん,38,110,4180
2026-04-06,S096,レタス,28,207,5796
2026-04-15,S096,大根,45,142,6390
2026-04-01,S096,ピーマン,45,134,6030
2026-04-07,S096,白菜,42,155,6510
2026-04-03,S096,レタス,21,190,3990
2026-04-06,S096,大根,42,148,6216
2026-04-22,S096,ズッキーニ,35,238,8330
2026-04-01,S096,白菜,19,167,3173
2026-04-19,S096,じゃがいも,21,96,2016
2026-04-18,S096,玉葱,9,95,855
2026-04-11,S096,ピーマン,31,120,3720
2026-04-15,S096,にんじん,28,120,3360
2026-04-20,S096,白菜,25,148,3700
2026-04-01,S096,大根,13,145,1885
2026-04-12,S096,ズッキーニ,35,201,7035
2026-04-11,S096,キャベツ,5,205,1025
2026-04-10,S096,玉葱,50,103,5150
2026-04-04,S096,レタス,22,210,4620
2026-04-18,S096,ピーマン,13,126,1638
2026-04-03,S096,にんじん,38,122,4636
2026-04-28,S096,レタス,23,185,4255
2026-04-18,S096,大根,29,115,3335
2026-04-21,S096,玉葱,20,108,2160
2026-04-14,S096,キャベツ,4,201,804
2026-04-12,S096,キャベツ,1,205,205
2026-04-20,S096,にんじん,17,117,1989
2026-04-20,S096,ズッキーニ,41,211,8651
2026-04-17,S096,白菜,36,161,5796
2026-04-12,S096,ナス,30,123,3690
2026-04-21,S096,じゃがいも,42,61,2562
2026-04-25,S096,にんじん,38,112,4256
2026-04-01,S096,玉葱,7,121,847
2026-04-05,S096,きゅうり,41,70,2870
2026-04-03,S096,ナス,33,145,4785
2026-04-27,S096,ナス,3,151,453
2026-04-09,S096,にんじん,37,148,5476
2026-04-01,S096,レタス,43,221,9503
2026-04-20,S096,きゅうり,10,81,810
2026-04-06,S096,じゃがいも,13,86,1118
2026-04-20,S096,じゃがいも,8,100,800
2026-04-18,S096,キャベツ,25,170,4250
2026-04-02,S096,キャベツ,32,200,6400
2026-04-07,S096,キャベツ,9,176,1584
2026-04-26,S096,にんじん,25,141,3525
2026-04-23,S096,レタス,9,196,1764
2026-04-23,S096,ピーマン,29,113,3277
2026-04-08,S096,白菜,48,170,8160
2026-04-10,S096,キャベツ,45,180,8100
2026-04-16,S096,ズッキーニ,6,241,1446
2026-04-25,S096,トマト,20,255,5100
2026-04-22,S096,ピーマン,24,116,2784
2026-04-22,S096,白菜,17,133,2261
2026-04-24,S096,レタス,35,211,7385
2026-04-26,S096,じゃがいも,24,101,2424
2026-04-10,S096,トマト,24,244,5856
2026-04-09,S096,きゅうり,47,74,3478
2026-04-09,S096,レタス,42,207,8694
2026-04-18,S096,大根,43,136,5848
2026-04-12,S096,大根,13,152,1976
2026-04-24,S096,トマト,33,242,7986
2026-04-26,S096,トマト,36,277,9972
2026-04-28,S096,じゃがいも,43,82,3526
2026-04-21,S096,大根,28,150,4200
2026-04-06,S096,レタス,32,193,6176
2026-04-14,S096,レタス,20,213,4260
2026-04-11,S096,じゃがいも,10,61,610
2026-04-28,S096,ナス,30,150,4500
2026-04-12,S096,大根,31,110,3410
2026-04-17,S096,ピーマン,19,105,1995
2026-04-06,S096,ナス,27,169,4563
2026-04-26,S096,ピーマン,36,103,3708
2026-04-22,S096,ナス,17,139,2363
2026-04-08,S096,ズッキーニ,28,238,6664
2026-04-23,S096,きゅうり,35,72,2520
2026-04-12,S096,キャベツ,49,206,10094
2026-04-26,S096,トマト,21,233,4893
2026-04-12,S096,ズッキーニ,3,238,714
2026-04-06,S096,大根,18,135,2430
2026-04-15,S096,にんじん,47,100,4700
2026-04-02,S096,白菜,13,147,1911
2026-04-06,S096,ピーマン,49,102,4998
